date,year,home_team,away_team,elo_diff,host_advantage,home_is_host,away_is_host,label,tournament
2014-06-29,2014,Netherlands,Mexico,153.50835229775907,0,0,0,H,FIFA World Cup
2014-06-30,2014,France,Nigeria,120.63858150898523,0,0,0,H,FIFA World Cup
2014-06-30,2014,Germany,Algeria,340.3965909248918,0,0,0,H,FIFA World Cup
2014-07-01,2014,Argentina,Switzerland,174.70885102784177,0,0,0,H,FIFA World Cup
2014-07-01,2014,Belgium,United States,-14.826968534458274,0,0,0,H,FIFA World Cup
2014-07-04,2014,Brazil,Colombia,110.16411083764547,1,1,0,H,FIFA World Cup
2014-07-04,2014,France,Germany,-145.25234553337714,0,0,0,A,FIFA World Cup
2014-07-05,2014,Argentina,Belgium,143.28903197054865,0,0,0,H,FIFA World Cup
2014-07-05,2014,Netherlands,Costa Rica,237.4834997634964,0,0,0,D,FIFA World Cup
2014-07-08,2014,Brazil,Germany,-4.563551787990718,1,1,0,A,FIFA World Cup
2014-07-09,2014,Netherlands,Argentina,29.418298793395024,0,0,0,D,FIFA World Cup
2014-07-12,2014,Brazil,Netherlands,-12.426117890460546,1,1,0,A,FIFA World Cup
2014-07-13,2014,Germany,Argentina,102.17688611440053,0,0,0,H,FIFA World Cup
2018-06-14,2018,Russia,Saudi Arabia,11.057376763998036,1,1,0,H,FIFA World Cup
2018-06-15,2018,Egypt,Uruguay,-115.04926906730975,0,0,0,A,FIFA World Cup
2018-06-15,2018,Morocco,Iran,-100.78150165740635,0,0,0,A,FIFA World Cup
2018-06-15,2018,Portugal,Spain,-68.71039651989076,0,0,0,D,FIFA World Cup
2018-06-16,2018,France,Australia,141.73462798327046,0,0,0,H,FIFA World Cup
2018-06-16,2018,Argentina,Iceland,221.5692669769826,0,0,0,D,FIFA World Cup
2018-06-16,2018,Peru,Denmark,81.38950343228112,0,0,0,A,FIFA World Cup
2018-06-16,2018,Croatia,Nigeria,122.06099561497513,0,0,0,H,FIFA World Cup
2018-06-17,2018,Costa Rica,Serbia,95.75618662050442,0,0,0,A,FIFA World Cup
2018-06-17,2018,Germany,Mexico,156.79148980360037,0,0,0,A,FIFA World Cup
2018-06-17,2018,Brazil,Switzerland,223.894343968479,0,0,0,D,FIFA World Cup
2018-06-18,2018,Sweden,South Korea,-3.919601376236642,0,0,0,H,FIFA World Cup
2018-06-18,2018,Belgium,Panama,185.94364535094087,0,0,0,H,FIFA World Cup
2018-06-18,2018,Tunisia,England,-175.01142526818126,0,0,0,A,FIFA World Cup
2018-06-19,2018,Colombia,Japan,98.52092406447787,0,0,0,A,FIFA World Cup
